tier,customer,url,cited_by,category,stage,funding,headcount,accelerator,how_they_use_agents,why_memory,testimonial,person_quoted
anchor (persona-fit),Trag,https://trag.ai,Trace (trace.so),dev tools / AI code review (DevSecOps after acquisition),"Pre-seed / accelerator-backed. ACQUIRED by Aikido Security, August 202","No priced round on record. Dealroom explicitly shows ""no known external funding.",2-10 (LinkedIn company page self-reporte,"Not YC. Berkeley SkyDeck Europe, Batch 5 (announced 30 Oct 2","The core product IS the agent: an LLM reads every pull request with repo-wide context and reviews it against team-authored, plain-English rules, then posts actionable PR feedback like a senior engineer rather than a pattern-matching scanner. Agents also did the earlier refactor/migration automation.","A code-review agent is worthless without durable, org-specific context: the team's conventions, past review decisions, why a pattern was rejected last quarter, which parts of the repo are load-bearing. Trag's whole pitch — ""automates tribal knowledge","50% of my workday gets done like magic with Trace – tasks, teams, and models all perfectly in sync.","Hovhannes Ghevondyan, Co-Founder"
anchor (persona-fit),GodmodeHQ,https://godmodehq.com,Trace (trace.so),AI SDR / agentic GTM & outbound sales automation,"Pre-seed (angel + pre-seed). DEFUNCT — wound down 30 April 2025, capit","$2.6M pre-seed, reported Aug 2024 (Webrazzi, syndicated via Dealroom), from BITK",~5-6 at peak. The shutdown post names th,None found. Not YC. Directly VC-backed. Related entity: Troy,"Agents were the entire product surface: (1) ""AI Associates"" — autonomous account executives that scoured the web nightly for intent signals, sourced and verified leads and drafted outreach, notifying the human each morning for approval; (2) user-built research agents wired to Apollo/Salesforce/HubSp","Their product only worked if agents carried persistent company context — ICP definition, value props, brand/formatting rules, knowledge-base documents, exclusion lists synced from the CRM, and the history of which prospects had already been touched. ","2x the productivity across our entire department, which adds up to a full month of work saved.","Mert Deveci, Founder"
anchor (persona-fit),Mastra,https://mastra.ai,"Mem0 (mem0.ai) — Embedchain, Inc., YC S24; OpenMemory MCP (by Mem0 / Embedchain, Inc. — mem0.ai)",TypeScript agent framework + agent hosting/observability cloud (dev tools / AI infrastructure),Series A,"$35M total raised, including a $22M Series A. Investors: Spark Capital, Gradient",~30-35. Mastra's own /about page states ,"Y Combinator, Winter 2025 batch (W25). Group partner: Gustaf","Agents are the core primitive of the framework and the unit of billing in the cloud — customers define agents with tools and instructions, compose them into workflows, and deploy them onto Mastra's runtime with observability and evals attached. Mastra's three stated customer patterns are internal au","Same pattern as CrewAI: memory is a first-party primitive, so Mastra is a substitute rather than a buyer. Mastra ships message history (on by default), working memory ('persistent, structured user data such as names, preferences, and goals' injected ","AMBIGUOUS — probably an integration rather than a customer. ""Mastra Logo"" appears on the /demo, /custom-pricing and /usecase/* ""Used by 100,000+ developers From"" marquee, but Mastra is also listed on /integrations, and Mem0 publishes a competitive /compare/mem0-vs-mastra page. Treat as low-confidence.",
anchor (persona-fit),Praktika.ai,https://praktika.ai,"Zep (Zep AI, Inc. / getzep.com) — YC W24; Zep (Graphiti)",consumer AI / edtech — AI voice tutors for language learning (prosumer subscription app),Series A,"~$38M total disclosed: $35.5M Series A led by Blossom Capital, announced 22 May ",unknown — not disclosed in the TechCrunc,Not YC and no accelerator found. Backed by Blossom Capital (,"The product IS the agent: a persistent voice-based AI tutor persona that the learner talks to daily. The site explicitly says tutors 'maintain conversation context and learning history,' give real-time corrections mid-dialogue without breaking the flow, and drive personalized study plans. The CEO fr","A tutor that forgets is not a tutor. The agent needs to remember which words this learner keeps mispronouncing, what grammar was drilled last week, their level, goals (exam prep vs. travel vs. work), interests to keep conversation topical, and prior ","Logo appears in the ""Trusted By AI Teams"" logo wall, img alt=""Praktika.ai"", asset at /customers/praktika_ai.svg. Logo-wall only — no quote or case study.",
anchor (persona-fit),AGI Inc,unknown,"Zep (Zep AI, Inc. / getzep.com) — YC W24; Zep (Graphiti)",On-device / computer-use AI agents (action models + consumer assistant + OEM agent platform),"Series A, reportedly raising a growth round. Forbes reported in Nov 20",Conflicting sources — reporting both rather than picking one. Predecessor-entity,~15-50. RocketReach lists 47 employees; ,None confirmed — not a Y Combinator company (the YC W24 refe,"The agent IS the product. AGI-0 runs on the device, reads the screen, reasons over what it sees, and drives arbitrary third-party apps (Instacart, Uber, Spotify, Messages, calendar) without per-app integrations or APIs — a GUI/computer-use agent rather than a tool-calling chatbot. It runs offline, o","The core product claim is a personal agent that is proactive and improves with use: their copy says AGI-0 ""lives on the device. It learns your preferences and gets better over time"" and ""remembers what you like and takes action across apps."" A cross-","Logo appears in the ""Trusted By AI Teams"" logo wall, img alt=""AGI Inc"", asset at /customers/agi_inc.svg. Logo-wall only; the logo is not hyperlinked and no domain is given, so the URL is left unknown rather than guessed.",
anchor (persona-fit),Litmus,https://litmushiring.com,Glen (Glen Labs Incorporated) — https://www.tryglen.com/,AI recruiting / technical assessment (HR tech for engineering hiring),seed / accelerator (YC S26); no priced round disclosed,"unknown — Y Combinator-backed, no announced round amount found on the site, Link",2-10 (LinkedIn size band; 4 employees li,"Y Combinator, Summer 2026 (S26) per LinkedIn; the site confi","Agents appear on both sides of the product. (1) Generation: the platform ingests a customer's repos, tickets, and JDs and synthesizes a scoped, buildable assessment from them — a codebase-comprehension task. (2) Grading: configurable LLM graders score qualitative dimensions (process, architecture) a","INFERRED — evidence is logo-wall-only. Litmus appears in Glen's ""Powering knowledge work at"" wall with no testimonial, so the wall header implies usage but Glen never labels these as paying customers. The plausible fit: Litmus's core product requires","Homepage logo wall under the heading ""Powering knowledge work at"" (/logos/litmus.svg, alt ""Litmus logo""). No testimonial. Identity is confirmed by a comment embedded inside the SVG asset itself, which states the lockup was ""assembled from https://litmushiring.com/"" — so this is Litmus the hiring/capability-evaluation startup, NOT litmus.com the ema",
anchor (persona-fit),Superagent,https://superagent.sh,Graphify Labs,AI agent security / developer security tooling,Seed (YC W24),unknown — no priced round has been publicly announced. Only confirmed capital is,2 (Y Combinator profile team size); Link,"Y Combinator, Winter 2024 batch (W24)",Agents are both the threat model and the delivery mechanism. Their scanning runs as an agent/model (SuperagentLM) over pull requests and contributor history; Runtime and Context Guardrails sit in the loop of customers' coding and production agents to bound behavior and sanitize untrusted input; they,"Plausible on first principles rather than confirmed: Contributor Trust and the 'brin — credit score for context' repo both imply persistent, accumulating reputation state — scores for contributors, packages and context sources that only mean anything","Listed on /customers under ""Teams building on Graphify"" and on the homepage logo wall ""Already building on Graphify"" (alt text ""Superagent logo""). Full card text: ""Superagent — Security for AI-native developers — Superagent (YC W24), the security layer for AI-native developers."" AMBIGUOUS: unlike the Rootly and HKUST cards, the Superagent card carr",
anchor (persona-fit),Adapta,unknown,Supermemory,AI workspace / horizontal AI assistant + agent builder for SMBs (per vendor description; unverified),unknown,"unknown — no funding record found; no Crunchbase, TechCrunch, or press coverage ",unknown,unknown — no YC page found (ycombinator.com/companies/adapta,"Claimed: the product is itself an AI workspace — a general chatbot plus a tool for customers to create their own agents, plus internal AI tooling. So agents are the product surface, and the customers of Adapta are themselves building agents on top. Unverified.","Per the case study, Adapta was building its own memory systems in-house and found that maintaining them pulled focus from the core workspace product. Because the product spans chat, user-built agents and internal tooling, memory is cross-surface: a w","Case study ""How Adapta scaled its AI workspace to 100,000+ companies"" (June 12, 2026). Quote: ""We tested them out, and Supermemory had the best results. Even if you're building your own memory system, you should build it on top of Supermemory."" Homepage testimonial from the same person: ""Supermemory let us scale usage without losing the thread of e","Max Peters, Founder, Adapta"
anchor (persona-fit),Cluely,https://cluely.com,Supermemory,AI meeting assistant / real-time AI overlay (originally 'AI cheating' tooling),Series A,"$20.3M total across 2 rounds: $5.3M seed (Apr 21, 2025) co-led by Abstract Ventu","~20-70, sources disagree sharply. Tracxn","None — not YC. Venture-backed directly (Abstract Ventures, S","An always-on, real-time assistant rather than a task-executing agent: it continuously listens to the meeting audio, transcribes, and generates suggested answers and notes in an overlay on demand. Users can upload files and set custom instructions to steer what it says, and past meeting history is re","Inferred, not stated — Cluely appears only as a logo on Supermemory's homepage ticker ('Used by the best teams', logo linked to cluely.com) and twice in the 'In production at' rows under Knowledge Bases and Realtime Knowledge; no quote or case study ","Homepage hero logo ticker labelled ""Used by the best teams"" (container aria-label=""Companies using Supermemory""), logo file /images/customer-logos/cluely-wordmark.svg, linked to https://cluely.com. Also appears twice in the ""In production at"" logo rows of the use-cases carousel — under ""Knowledge Bases"" and under ""Realtime Knowledge"". Strong custom",
anchor (persona-fit),Vela,https://tryvela.ai,Supermemory,AI scheduling/coordination agent for professional services (recruiting and executive search primary wedge),Pre-seed / seed (YC W26 — very early),Amount not disclosed anywhere I could verify. Backers named on their own site: Y,"Small, likely 2-15, with a conflict in t","Y Combinator, Winter 2026 batch. Also Z Fellows and Pareto H","Vela is a single autonomous agent that owns the whole scheduling loop with no human in it: parse intent from a natural-language email or text, identify participants, read calendar state, negotiate across parties over separate channels (one participant on email, another on WhatsApp), propose and hold","Scheduling is the canonical stateful agent problem, and Vela's architecture makes it acute. A single meeting negotiation spans days, multiple channels (email plus SMS plus WhatsApp) and multiple humans, so the agent must carry one coherent thread of ","Homepage hero logo ticker ""Used by the best teams"" (/images/customer-logos/tryvela-ai.png, data-mark=""Vela"", linked to https://tryvela.ai). No quote published.",
anchor (persona-fit),Fleetline,https://www.fleetline.ai,Falconer (https://falconer.com),Vertical AI / freight tech — AI dispatch and fleet optimization for trucking,Seed (YC Summer 2025 batch),"unknown. No disclosed priced round, investor list, or ""backed by"" language appea",~11. The YC company profile lists team s,"Y Combinator, Summer 2025 batch","AI is the product, not a feature. Two distinct layers: (a) a combinatorial optimization engine that enumerates and scores fleet-week plans, and (b) an LLM layer on top — the YC description says they combine ""advanced optimization with LLMs that can easily adapt algorithms to each fleet's needs,"" i.e","CAVEAT FIRST: Fleetline is a logo-only citation on Falconer — it sits in the hero logo strip (partner-logo, /images/customers/fleetline-logo.svg) with no quote, no named person, no case study, and no other mention on the site. The customer relationsh","Logo-only. Appears in the hero logo strip on the homepage and /landing/ (markup: class=""partner-logo"" aria-label=""Fleetline"", href=https://www.fleetline.ai, background image /images/customers/fleetline-logo.svg). The strip carries no heading text such as ""trusted by"", so the customer claim is implicit — but the asset path is /images/customers/ and ",
anchor (persona-fit),Seapoint,https://www.seapoint.co,Falconer (https://falconer.com),Fintech — AI-native startup finance ops / spend + accounting automation (a European Brex/Mercury-adjacent play),Seed,"€10M raised to date, per Seapoint's own /about-us page. The headline round is a ","~20-30. The /about-us page says ""20 Peop",None found. Not a YC company; no accelerator affiliation app,"AI runs the finance back office rather than sitting in a chat box. Shipped: automatic categorisation of bank transactions (they published a dedicated post, ""How Seapoint Uses AI to Categorise Your Bank Transactions""), AI-powered invoice processing, and automated ingestion across banks, email and acc","CAVEAT FIRST: like Fleetline, Seapoint is a logo-only citation on Falconer — hero logo strip, /images/customers/seapoint-logo.svg, no quote, no named person, no case study, no other mention on the site. Customer status is implied by the asset path an","Logo-only. Appears in the hero logo strip on the homepage and /landing/ (markup: class=""partner-logo"" aria-label=""Seapoint"", href=https://www.seapoint.co, background image /images/customers/seapoint-logo.svg). Same caveat as Fleetline: the strip has no ""trusted by"" label, so the customer claim is implicit, though the /images/customers/ asset path a",
anchor (persona-fit),Wordware,https://www.wordware.ai,Honcho (Plastic Labs),AI assistant / agentic knowledge-work OS (prosumer productivity); formerly AI developer tools,Seed,$30M seed led by Spark Capital with Felicis and Y Combinator; also Day One Ventu,"14 (stated on wordware.ai/story, current","Y Combinator, Summer 2024 batch","Sauna IS the agent. It runs proactively and asynchronously — batch-processing CVs, triaging email, filing tickets — executes learned Recipes in the background while the user is away, and returns work for review. Autonomy is graduated: assist, then co-do, then propose automation. This is one of the p","By far the strongest fit of the three, and also the most likely to be a competitor rather than a customer. Wordware's stated product thesis is literally 'an AI assistant built for compounding context' that 'learns your taste, detects hidden patterns,","Logo in the homepage ""Used by developers at"" ticker (""frontier"" group). AMBIGUOUS: developer-level claim only. No quote or case study.",
anchor (persona-fit),Chroma,https://www.trychroma.com,Honcho (Plastic Labs),"AI infrastructure — vector/search database, retrieval layer (an adjacent-layer vendor, arguably a supplier to or peer of",Seed confirmed; a later round is plausible but unverified,"$18M seed announced 7 April 2023, led by Astasia Myers at Quiet Capital, with an",unknown — not stated on trychroma.com/ca,none found,"Chroma is the retrieval layer agents call, not an agent product itself. Its docs ship an 'Agentic Search' guide — 'Build agents that iteratively search and refine results for complex queries' — and a code-search example describing 'coding agents using AST-aware chunking.' The homepage lists 'Agent' ","This is where the citation gets genuinely suspect, and I would flag it to whoever is building the buyer list. Chroma is not a natural BUYER of agent memory — it is a supplier of the primitive that agent-memory products are built on. Their own seed an","Logo in the homepage ""Used by developers at"" ticker (""frontier"" group). AMBIGUOUS on two counts: developer-level wording, and Chroma is a vector/search database that could be part of Honcho's own stack rather than a customer.",
anchor (persona-fit),Agentplace,https://agentplace.io,Trace (trace.so),AI agent building platform / no-code agent workspace (agent PaaS),unknown — no announced round found; appearance is pre-seed or bootstra,"unknown — no funding announcement anywhere on agentplace.io (checked homepage, /",2-10 (LinkedIn company size band for lin,"none found — no YC batch, no accelerator mentioned on site, ","Agents are the entire product, not an internal efficiency tool. Agentplace sells agent infrastructure: the customer's agent is a deployed web app with its own VM, backend, and model loop. Agents appear at three layers — (1) the builder is itself an agent that writes, tests, screenshots and debugs th","Genuine structural need, but note they already build their own. Their llms.txt lists memory as a first-class runtime component ('Brain: the model loop, tools, sub-agents and memory'), advertises memory shared across site and chat mode, and claims the","Product Hunt review: ""I typed the compliance overlooking process...and it kicked out a full workflow, split up for AI agents and humans, and I could tweak everything in seconds.""",Mariam Grigoryan (Agentplace)
anchor (persona-fit),Eragon,https://www.eragon.ai,Hyperspell,company brain / AI operating system / applied AI lab (agent + memory infrastructure itself),seed,"$12M seed round (site-wide banner: ""Announcing our $12 million seed funding roun",11-50 (LinkedIn band); 4 open roles list,unknown - no YC or accelerator affiliation found; investors ,"Agents are the product. They run across a customer's connected systems (product data, billing, revenue, CRM, underwriting, onboarding) as read-and-write operators rather than chat toys, and Eragon benchmarks each agent on accuracy, speed and value delivered against business outcomes. Customers descr","Persistent memory is an explicitly listed layer of their own stack, so the need is structural: an AI OS that answers cross-system business questions is a retrieval-and-memory product first. Their customers' quotes are memory complaints verbatim - Sla","Homepage logo marquee (img alt=""Eragon""). AMBIGUOUS/RECIPROCAL: a public LinkedIn post from Eragon founder Josh Sirota's ""51 weeks, 51 customers"" series features Hyperspell, with Conor Brennan-Burke saying ""Josh and Eragon have made a huge difference on our journey"" — i.e. Hyperspell is a customer of Eragon. The two may be mutual customers; Hypersp",
anchor (persona-fit),Corgi Insurance,https://www.corgi.insure,Glen (Glen Labs Incorporated) — https://www.tryglen.com/,"insurtech / AI-native financial infrastructure (full-stack carrier, not a brokerage)",Series B,"~$268M total disclosed, all per Corgi's own site (independent press verification",~250-350 and hiring hard. YC profile sta,"Y Combinator, Summer 2024 (S24); YC also listed as an invest","AI is in the operational core rather than sold as an agent product. Corgi describes itself as ""the first full-stack AI insurance carrier"": AI drives underwriting and quoting (sub-10-minute quotes, same-day binding, no broker in the loop) and is paired with human claims expertise (""60+ years of claim","INFERRED — evidence is logo-wall-only. Corgi appears in Glen's ""Powering knowledge work at"" wall with no testimonial, so depth of deployment is unknown. The rationale that fits: Corgi is the one name on the wall with real organizational scale — a few","Homepage logo wall under the heading ""Powering knowledge work at"" (/logos/corgi.svg, alt ""Corgi Insurance logo""). No testimonial. Alt text says ""Corgi Insurance"", matching Corgi (YC S24 AI-native startup-insurance carrier, corgi.insure) rather than the unrelated YC company Corgi Labs (payments). Logo-wall-only evidence, so slightly ambiguous as to ",
anchor (persona-fit),Payabli,https://www.payabli.com,Falconer (https://falconer.com),fintech / embedded payments infrastructure for vertical SaaS (payfac-as-a-service),Series B,$60M total disclosed as of Jun 2025. $12M seed (Mar 2023); $20M Series A (Jun 20,~125+ (Falconer case study profile block,None found — not a YC company; venture-backed from seed by Q,"Agents are a 2026 product layer on top of a 2020-founded payments platform, announced Jul 30 2026 as 'intelligence in every layer of embedded payments'. (1) Amigo AI agent suite — Amigo Insights is live: natural-language querying of live payment data (funding status, chargebacks, residuals, merchant","~125 people and ~50 engineers, fully remote, tripled since 2023 with a documentation function of essentially one person (Casey Smith, Director of Documentation). Confluence was the sanctioned wiki but nobody used it — knowledge lived in Google Drive ","Full case study ""How Payabli replaced Confluence with Falconer in two days"" (June 1, 2026). Profile block: Industry Fintech, Location Miami FL, Company size 125+. Pull quotes: ""I see engineers sharing Falconer links all day now. We never saw that with other tools. There's the proof."" and ""My stress level is much lower because of Falconer."" In-body ","Casey Smith, Director of Documentation at Payabli"
anchor (persona-fit),Vori,https://www.vori.com,Falconer (https://falconer.com),vertical SaaS — grocery retail operating system / POS + AI ops agents,Series B,"$50M total. $10M Series A (Aug 2022); $22M Series B (announced May 5 2026, Fortu",50-100 (Falconer case study profile bloc,"Y Combinator, Winter 2020 batch","Vori now markets itself as an 'AI native operating system' for grocery, but it was founded in 2019 as a grocery ordering/POS company and the agent layer is a 2025-26 repositioning — treat the AI-native claim as marketing-forward. Three customer-facing agents run on top of store data: a Pricing Agent","Engineering knowledge was spread across six tools (Notion, Slack, Linear, GitHub, Google Docs) and Notion search was the specific complaint — 'not great... organization was also just generally terrible.' The named buyer, Clinton Blackburn (Engineerin","Full case study ""How Vori uses Falconer as a librarian to automate engineering docs"" (May 22, 2026). Profile block: Industry Grocery management software, Location San Francisco CA, Company size 50-100. Pull quotes: ""It's one of the best document editors I've come across. It's one of the best AI tools I've come across in the sense that I trust it."" ","Clinton Blackburn, Engineering Manager at Vori"
