vendor,url,yc_batch,category,public_customers_found,one_liner
Coworker AI,https://coworker.ai,not YC,company-brain,,"Positions as an ""active company brain"" — connects 50+ sources, verifies and re-checks facts, pushes approved updates with an audit trail."
Gyld,https://gyld.ai,not YC,company-brain,0,"Confirmed: ""Business context for your AI agents"" — managed company brain that ingests Gmail, Slack, QuickBooks, Notion, Drive and exposes company knowledge as MCP servers."
In Parallel,https://www.in-parallel.com/,not YC,company-brain,0,"""The Shared Context Layer for Enterprise AI"" — joins meetings, captures decisions and commitments as they happen, and serves permission-scoped, cited org context to Claude/ChatGPT/Copilot over MCP (agents can also write back). Helsinki-based, EU-hosted, €29/user/mo."
Modern Relay (Omnigraph),https://modernrelay.com/,not YC,company-brain,0,"Confirmed: ""Context infra that helps AI coordinate knowledge"" — enterprise context graph plus open-source Omnigraph, a git-style versioned graph DB where agents branch/propose/merge knowledge; raised ~$3M led by Point Nine (Apr 2026)."
Pensieve,https://pensieve.uk/,not YC,company-brain,0,"""Full company context for every AI agent"" — connects Slack, Notion, Drive, GitHub into a living relational model of people/projects/decisions/customers; free, BYO model keys. (Site returned 403 to automated fetch but is live per Product Hunt.)"
Saphenia,https://saphenia.com/,not YC,company-brain,0,"""Context graphs for agents"" — teaches agents how an organization decides, aimed at high-regulation enterprise (financial services, pharma)."
Savant,https://heysavant.com/,Spring 2026,company-brain,0,"Confirmed: ""The Operational Memory Layer"" — captures undocumented procedures and decision logic, turning them into structured context and agent skills (legal entity Bledger, Inc.)."
Sylph,https://github.com/getnao/sylph,"not YC (built by nao Labs, YC X25)",company-brain,0,"Open-source company brain shipped as a Git repo you fork — hosts company context, builds skills and agents with self-learning, agent-agnostic across Claude Code, Codex and Cursor, no vendor lock-in. Built by Claire at nao Labs to run her own YC startup; the credible open-source/DIY substitute for a "
Wato (Wato Labs),https://www.watolabs.com/,Spring 2026,company-brain,0,"""The control point for AI agents at work"" — a shared, permissioned AI workspace giving agents shared memory, reusable published skills, connected MCP tools and living artifacts so work compounds across a team; works with Codex, Claude Code/Desktop, Cursor and other MCP environments."
LlamaIndex,https://www.llamaindex.ai/,not YC,agent-memory-infra,52,Open-source data framework for connecting custom data to LLMs with end-to-end RAG pipelines and memory modules — the build-your-own substrate under many company brains.
Honcho (Plastic Labs),https://github.com/plastic-labs/honcho,not YC,agent-memory-infra,40,"Open-source ""reasoning-first"" memory for stateful agents with a peer-centric model (users, agents, groups, projects all first-class); managed cloud at api.honcho.dev; strong 2026 benchmark results."
Cognee,https://www.cognee.ai/,"not YC (backed by Pebblebed, Vermillion Cliffs, 42 Cap, Combination VC, Angel Invest; part of Berkeley Xcelerator)",agent-memory-infra,33,"Confirmed: ""Open Source Memory Platform for Agents"" — the closest OSS analogue to a company brain, connecting Slack, GitHub and Linear into one queryable graph+vector memory."
Maximem (Synap),https://www.maximem.ai/,not YC,agent-memory-infra,23,Memory and context management for AI agents; markets Synap on latency (~15ms P50) and LongMemEval scores. Note: all comparison pages found are Maximem's own vendor-run content.
OpenMemory MCP,https://www.producthunt.com/categories/llm-memory,not YC,agent-memory-infra,22,"""Memory for your AI Tools"" — MCP-server memory shared across AI clients; listed in Product Hunt's LLM Memory category."
Mem0,https://mem0.ai/,S24,agent-memory-infra,19,"Confirmed: ""AI memory that persists across sessions and agents"" — the category's most-cited memory layer (vector + graph + KV), but scoped per-user/per-agent rather than org-wide."
Supermemory,https://supermemory.ai/,"not YC (raised ~$2.6M seed co-led by Susa Ventures, Browder Capital, SF1.vc; angels incl. Jeff Dean, Dane Knecht)",agent-memory-infra,19,"Confirmed: ""The memory layer for AI agents"" — context-engineering platform with enterprise APIs, MCP-native connectors (Gmail, Drive, Notion, GitHub, OneDrive) and a consumer second-brain app."
screenpipe,https://www.producthunt.com/categories/llm-memory,S26,agent-memory-infra,15,"""AI that records your computer work to power agents"" — capture-layer feeding agent memory; YC S26, adjacent input source rather than a company brain itself."
Zep (Graphiti),https://www.getzep.com/,not YC,agent-memory-infra,15,"Confirmed: ""Agent memory, at enterprise scale"" — temporal knowledge graph (open-source Graphiti engine) with fact-validity windows and sub-200ms retrieval; supports user, agent, org and domain graphs."
Zep AI,https://www.getzep.com,W24,agent-memory-infra,15,"""Agent memory, at enterprise scale."" — builds temporal context graphs from chat history + business data with sub-200ms retrieval; open-source engine is Graphiti, product itself is now cloud-only. YC page tagline: ""Agent Context Is Hard. We Fixed It."""
Memvid,unknown,not YC,agent-memory-infra,13,"Single-file memory layer combining lexical and semantic search for persistent agent context; founded 2025, Tennessee. Primary site not confirmed via fetch."
Liminary,https://www.producthunt.com/categories/llm-memory,not YC,agent-memory-infra,11,"""Ground your AI in saved knowledge as you work"" — knowledge-grounding memory layer, Product Hunt LLM Memory category."
Hindsight,unknown,not YC,agent-memory-infra,9,"Named repeatedly in 2026 memory round-ups as an institutional-memory system (what an agent did, what went wrong, what humans corrected) — closest adjacent to the company-brain thesis, but I could not confirm a primary marketing site."
Hindsight (Vectorize.io),https://vectorize.io,not YC,agent-memory-infra,9,"""Agent Memory That Learns"" — MIT-licensed retain/recall/reflect memory system with observations, mental models and knowledge pages; 25+ LLM providers, Python/Node/Go/CLI SDKs, self-host or Hindsight Cloud. NEW FIND, not on your seed list."
Vectorize,https://vectorize.io,not YC,agent-memory-infra,9,"RAG/vector pipeline platform publishing ""how to build a company brain for AI agents"" — a build-it-yourself context pipeline rather than a packaged company brain."
Memobase,https://memobase.io,not YC,agent-memory-infra,8,"""User Profile-Based Long-Term Memory for AI Chatbot Applications"" — evolving user profiles plus timestamped event timeline, FastAPI/Postgres/Redis, Python/Node/Go SDKs, Apache-2.0. CAVEAT: memobase.io returned 404 to my fetches (bot-block or outage); GitHub repo is active (~2.9k stars, 467 commits) "
Memori,https://www.producthunt.com/categories/llm-memory,not YC,agent-memory-infra,7,"""Persistent memory from agent trace, not just conversation"" — distinctive angle of learning from execution traces rather than chat logs."
Memori (Memori Labs),https://memorilabs.ai/,not YC,agent-memory-infra,7,"""Agent-native memory infrastructure"" — an LLM-agnostic layer that turns agent execution traces (not just conversation) into structured, persistent state; markets a ""company brain"" use case."
Memori (MemoriLabs / GibsonAI),https://memorilabs.ai,not YC (no YC affiliation found),agent-memory-infra,7,"""Agent-native memory infrastructure"" — LLM-agnostic layer turning agent execution and conversation into structured persistent state; dual-mode (conscious working memory + auto DB search), runs on your existing Postgres/MySQL, deploys cloud/VPC/on-prem. NEW FIND."
MemSync,https://www.producthunt.com/categories/llm-memory,not YC,agent-memory-infra,7,"""Unified Memory for all of your apps"" — cross-app memory layer, Product Hunt LLM Memory category."
Evermind (EverOS),https://evermind.ai,not YC,agent-memory-infra,6,"Local-first, Markdown-native, user-owned portable memory layer with self-evolving skills and multimodal ingestion; public beta April 2026. Note: also publishes its own ""Mem0 alternatives"" listicles, so treat its rankings as vendor content."
Graphify Labs,https://www.graphify.com/,S26 (Summer 2026),agent-memory-infra,6,"On-device/on-prem knowledge graph engine giving humans and agents ""one shared, always-current knowledge graph of your whole codebase, across every language and every repo, plus its docs and tickets""; adds formal PR verification. ~105K-108K GitHub stars (first YC company to cross 100K mid-batch); CEO"
Basic Memory,https://basicmemory.com/,not YC,agent-memory-infra,4,"Open-source local-first knowledge graph written in plain Markdown, exposed to Claude/other assistants over MCP (search_notes, read_note, write_note); individual/small-team scope rather than org-wide."
Basic Memory (Basic Machines),https://basicmemory.com,not YC,agent-memory-infra,4,"""One place for your notes, decisions, and workflows. For you, your AI tools, and your team."" — MCP server that builds a persistent knowledge graph from plain Markdown files on disk; local free, cloud $15/mo. Local-first, Obsidian-compatible."
Letta,https://www.letta.com,not YC as a batch company (YC participated as an investor),agent-memory-infra,4,From the MemGPT team — treats the LLM as an operating system where the agent calls tools to page facts in and out of its own context window and rewrites its own memory; ~$10M seed. Domain not independently fetched in this sweep (commonly letta.com); verify before citing.
Letta (formerly MemGPT),https://www.letta.com/,not YC (no batch; YC participated as an investor in the $10M seed led by Felicis),agent-memory-infra,4,"Confirmed: ""Machines that learn"" — OS-inspired tiered memory (core/recall/archival) that the agent edits itself via tool calls; open source."
Papr,https://www.papr.ai/,not YC,agent-memory-infra,3,"Caution: the main site now reads ""AI apps that run GTM work"", so the company appears to have pivoted toward GTM agents; the memory product survives as open-source Papr Memory (MongoDB+Qdrant+Neo4j predictive memory layer)."
Blume (blume.codes),https://blume.codes/,"S26 (Summer 2026) — reported by one source, NOT confirmed on the company's own site or a YC profile",agent-memory-infra,1,"Local desktop sidecar beside Claude Code, Codex and Cursor that clusters repeated corrections and frustration signals into durable rules, hooks and skills — agent memory formed from correction rather than ingestion. CAUTION: distinct from Blume Benefits (YC W24, health-insurance broker AI) which own"
GBrain,https://github.com/garrytan/gbrain,not YC (open-source project by YC CEO Garry Tan),agent-memory-infra,1,"Open-source long-term memory layer that turns plain Markdown into a self-assembling knowledge graph for agents; ~74 tools over MCP, hybrid vector+BM25 retrieval."
MIRIX,https://mirix.io,not YC,agent-memory-infra,1,"""Advanced Memory System for LLM Agents"" — multi-agent assistant that captures screen/visual data and converts it into structured multi-type memories for QA. NEW FIND; smaller/research-flavored, weakest commercial signal of the set."
Actx0,https://www.producthunt.com/categories/llm-memory,not YC,agent-memory-infra,0,"""Memory infrastructure for AI agents"" — Product Hunt LLM Memory launch."
Atlaso,https://www.producthunt.com/categories/llm-memory,not YC,agent-memory-infra,0,"""One memory for every AI you use"" — cross-assistant personal memory layer; personal rather than company scope."
ByteRover,https://www.byterover.dev/,not YC,agent-memory-infra,0,"""Share the right context across your agents and team. You control what crosses."" — local-first, file-based memory for coding agents with selective team sharing; claims >92% retrieval accuracy."
Cloudflare Agent Memory,https://blog.cloudflare.com/introducing-agent-memory/,not YC,agent-memory-infra,0,Managed agent memory service with typed memory categories (Facts/Events/Instructions/Tasks) and shared-profile support — a hyperscaler entering the memory layer.
Graphlit,https://www.graphlit.com/,"not YC (~$3.56M raised; investors incl. Feld Ventures, 8VC, Vectura Ventures)",agent-memory-infra,0,"Confirmed live: positions directly as a ""Context layer for AI agents"" — managed ingestion/knowledge-graph API for unstructured content."
Graphon AI,https://graphon.ai/,not YC,agent-memory-infra,0,"""The Intelligence Infrastructure across physical and digital worlds"" — a ""pre-model intelligence layer"" turning video, audio, images, docs and databases into persistent relational memory agents reason over at petabyte scale. SF-based, $8.3M seed led by Novera Ventures."
LangMem (LangChain),https://langchain-ai.github.io/langmem/,not YC,agent-memory-infra,0,"LangChain's open-source memory SDK for extracting, consolidating, updating and searching long-term memory inside LangGraph agents."
MemoryLake,https://www.memorylake.ai/,not YC,agent-memory-infra,0,"""The memory lake for every AI"" — multimodal memory infrastructure storing conversations and documents with end-to-end encryption so agents keep persistent context across sessions; free tier plus premium plans."
memU (NevaMind-AI),https://memu.so,not YC,agent-memory-infra,0,"""The memory harness for proactive AI agents — structured storage, intent capture, 10x token reduction"" — agentic memory framework for 24/7 always-on agents, multimodal ingest, RAG + LLM retrieval; hosted at memu.so, OSS on GitHub. NEW FIND. (memu.so homepage is JS-rendered and returned no text to my"
Mosaic,https://mosaic.inc,S26 (Summer 2026),agent-memory-infra,0,"""Shared memory for your team's agents"" — syncs every coding-agent session (Claude Code, Codex, Cursor + 11 more) into one shared read-only drive preserving what was attempted, changed and why. Thesis directly overlaps company-brain: ""the real unit isn't the agent, it's one shared context store every"
xmemory,https://xmemory.ai/,not YC,agent-memory-infra,0,"""Schema-grounded agent-first memory engine"" — structures memory on the write path with schemas, types, constraints and dedup so agent memory can be trusted like data infrastructure. London-based, $4M/£3M pre-seed led by Fly Ventures; closed beta."
Guru,https://www.getguru.com/,not YC,enterprise-search-adjacent,124,AI knowledge management platform with verification workflows to keep answers current; knowledge-base heritage rather than agent-facing context API.
Notion AI,https://www.notion.com/,not YC,enterprise-search-adjacent,88,"AI answers grounded in Notion pages, databases and connected sources like Drive and Slack — workspace-native context, the default incumbent many teams already have."
Atlan,https://atlan.com/,not YC,enterprise-search-adjacent,80,"Data governance/catalog vendor now positioning its Enterprise Data Graph as the certified ""context layer"" agents read from (semantic definitions, lineage, access policy). Governance-first, so it competes on trust rather than on unstructured company knowledge."
Glean,https://www.glean.com/,not YC,enterprise-search-adjacent,45,The incumbent to beat: enterprise AI search indexing 100+ apps with generative Q&A; named in nearly every company-brain round-up as the query-time-retrieval alternative to write-time comprehension.
Sana (Sana Labs),https://sanalabs.com/,not YC,enterprise-search-adjacent,33,"""Superintelligence for work"" — enterprise knowledge, search and learning platform positioned as an ""enterprise brain""; now part of Workday."
Atlassian Intelligence (Confluence),https://www.atlassian.com/,not YC,enterprise-search-adjacent,32,AI search and summarization across Jira tickets and Confluence docs; incumbent context surface inside the Atlassian estate.
Granola,https://www.granola.ai/,not YC,enterprise-search-adjacent,27,Meeting intelligence that transcribes computer audio into structured summaries — a high-value input feed to company brains (Memory Store explicitly ingests it) rather than a competitor.
Onyx,https://onyx.app,not YC,enterprise-search-adjacent,24,"Open-source, self-hostable enterprise search and AI platform combining search, multi-model chat, deep research and custom agents. FUNDING: $10M in one round from First Round Capital and Khosla Ventures. Relevant as the open-source, self-hosted alternative that data-sensitive buyers evaluate instead "
Tettra,https://tettra.com/,not YC,enterprise-search-adjacent,23,"Structured wiki with AI search and a Slack bot for small teams; wiki-first, included in company-brain round-ups as the lightweight option."
Sema4.ai,https://sema4.ai/,not YC,enterprise-search-adjacent,15,"Enterprise AI agent platform with a semantic layer for natural-language access to enterprise data; agent-platform-first, context layer second."
Contextual AI,https://contextual.ai/,not YC,enterprise-search-adjacent,11,Context-engineering platform with RAG 2.0 and sentence-level attribution; enterprise grounding rather than persistent org memory.
Airia,https://airia.com,not YC,enterprise-search-adjacent,8,"Enterprise AI security, orchestration and governance platform that in Jun 2026 launched a 'Context Engineering' product line — Graph RAG with customizable knowledge graphs, a Semantic Layer for domain vocabulary grounding, and a Knowledge MCP Server for multi-hop agentic retrieval. FUNDING: no round"
Tribal,https://gotribal.ai,not YC,enterprise-search-adjacent,4,"'Metadata Fabric' ingests and maps the full metadata layer of an enterprise system of record — objects, automations, permissions, dependencies, business rules — so context-aware agents can be shipped into Salesforce, ServiceNow, SAP, NetSuite and Workday in days. FUNDING: $10M seed led by Team8 with"
Dvina,https://www.producthunt.com/categories/llm-memory,not YC,enterprise-search-adjacent,0,"""Private AI that connects 120+ apps and your live databases"" — private connected-context assistant, adjacent to the company-brain framing."
Naïve,https://techcrunch.com/2026/08/06/naive-raises-28-5m-to-automate-the-grunt-work-of-setting-up-and-running-a-company/,YC (batch not specified in sources; YC participated in the Series A),other,11,"Infrastructure API for 'autonomous companies' — incorporation, virtual cards, compute, serverless agent runtime, multi-agent orchestration AND a shared memory layer that accumulates company-wide information and hands each agent only the context it needs. FUNDING: $28.5M Series A led by Nexus Venture"
Memories.ai,https://memories.ai,not YC,other,8,"""The multimodal memory infrastructure for AI"" — video/visual memory: Video Intelligence API + Visual Search API, indexing footage by people, events and context. REAL and in the memory-infra space, but it is video memory, NOT a text company brain — adjacent rather than a direct CentralAgent competito"
Poth Labs,https://pothlabs.com/,S26 (Summer 2026),other,5,"Vertical narrowing of the same idea — ""the customer brain for your company"": unifies Fireflies calls, Slack, support tickets, CRM notes, surveys and product analytics into an entity graph (customers, accounts, features, behaviors), then fills gaps with adaptive AI interviews. Customer-feedback scope"
Epicenter,https://epicenter.sh,S25 (Summer 2025),other,0,"""AI brain for your plain text knowledge"" — local-first, open-source, open-format assistant that lives in a folder on your machine and becomes the access point to everything you've written. PERSONAL second brain, not a multi-user company brain: no org permissioning or team ingestion, so it competes o"
